Primary Tag,Secondary 1,Secondary 2,Secondary 3,Secondary 4,Secondary 5,Secondary 6,Secondary 7,Secondary 8,Description
Data Analytics,Data Visualization,Predictive Modeling,Cloud Services & Platforms,Digital Transformation Services,Data Aggregation,,,,"Sisense offers business analytics solutions by enabling preparation, analysis and visualization of big or disparate datasets. It relies on two core technology offerings: Single-Stack Architecture, which is an end-to-end BI software and In-Chip Engine, which allows running of ad-hoc queries and minimizes the need of preparing data in advance"
Data Analytics,Data Visualization,Predictive Modeling,Cloud Services & Platforms,Digital Transformation Services,Data Aggregation,Customer Analytics,Marketing Analytics,,"Tibco offers a BI platform, that seeks to recognize, understand and respond to real-time events, to deliver a competitive advantage and avert risks. Its bouquet of offerings can be categorized under five capabilities: Integration (enables availability of data, to make it responsive to key events); Event Processing (enables gaining of contextual awareness, to preempt risks of events); Analytics (offers embedded and self-service analytics); Cloud (allows enterprise-class cloud-based solutions); Customer Loyalty (enables marketeers to create relevant rewards)"
Data Analytics,Predictive Modeling,Cyber Intelligence,IT Vulnerability & Threat Assessment,Data Visualization,Cloud Services & Platforms,Digital Transformation Services,Data Aggregation,,"Splunk offers an operational intelligence platform, which enables analytics of machine-generated big data, providing insights into the performance of IT systems and technology infrastructure. It offers four core products: Splunk Enterprise (provides integration, search, analysis and visualization capabilities for machine data); Splunk Cloud (enables SaaS); Splunk Light (enables log search and analysis by integrating data); Hunk (big data analytics platform, using Hadoop)"
Cybersecurity,Cyber Intelligence,Information Security,Crisis Management,IT Vulnerability & Threat Assessment,,,,,"LightCyber is a provider of Behavioral Attack Detection solutions that provide accurate and efficient security visibility into attacks that have circumvented traditional security controls. The LightCyber Magna™ platform integrates user, network and endpoint context to provide security visibility into a range of attack activity. "
Pervasive Computing,Internet of Things,Networks & Sensors,Telematics,Smart Grid,Advanced Manufacturing,Cloud Services & Platforms,Mobile and Web Development,,"Arrow Electronics is a global provider of products, services and solutions to industrial and commercial users of electronic components and enterprise computing solutions. Arrow Intelligent Services is a framework and set of software capabilities that simplifies the way Original Equipment Manufacturers (OEMs), enterprises and systems integrators build, deploy and manage intelligent systems."
Pervasive Computing,Internet of Things,Networks & Sensors,Smart Grid,Wearables,Cloud Services & Platforms,Mobile and Web Development,,,"Relayr enables device manufacturers, app developers, and software companies to leverage the power of the internet of things through three offerings: 1. A cloud 2. SDKs and 3. a sensor kit to enable first prototypes within minutes, and new product roll-outs within one business quarter."
Pervasive Computing,Internet of Things,Telematics,Neuroscience,Advanced Manufacturing,Smart Grid,Mobile and Web Development,Social Media,,"n.io provides a software platform that enables interoperable applied intelligence and automation to any asset, signal, event, message, feed or stream from any source without the requirement of data storage. n.io software takes on the toughest challenges in smart connected devices, including interoperability, latency, database dependency and user complexity."
Cybersecurity,Information Security,IT Vulnerability & Threat Assessment,Cyber Intelligence,,,,,,The Menlo Security Isolation Platform reduces risk of malware from attack vectors including Web and Email. The Platform allows organizations to deploy isolation technology at scale to open up more of the Web to users while simultaneously eliminating the risk of infection by Web-borne malware.
Data Management,Data Visualization,Data Aggregation,Cyber Intelligence,,,,,,ThousandEyes provides IT performance management solution that delivers detailed visibility beyond the corporate network perimeter. The company's software aids identification of the cause of performance problems in the context of cloud applications and enables distributed collaboration to resolve problems quickly.
Artificial Intelligence,Machine Learning,Computer Vision,,,,,,,"Cortica provides visual search products that help images become interactive, actionable, engaging, and social.  Cortica automatically indexes and tags image  in real time, enabling users, advertisers and publishers to interact with images in new ways."
Artificial Intelligence,Cognitive Technology,Natural Language Processing,Natural Language Generation,,,,,,"Viv is a  platform that enables developers to create intelligent, conversational user interfaces. The platform enables voice user interfaces for devices and services. "
Artificial Intelligence,Natural Language Processing,Machine Learning,Text Analytics,Predictive Modeling,Enterprise Intelligence,Customer Analytics,,,"Rare Technologies helps businesses solve complex information retrieval problems and derive value with Machine Learning & Predictive Analytics. The company uses NLP applications to detect names, themes and sentiments from structured & unstructured data."
Artificial Intelligence,Process Automation,Robotics,Process Automation,,,,,,"OpenSpan provides desktop analytics and automation software for enterprises. In addition, the company offers project maintenance services that comprise standard phone, e-mail, and online support and  consulting services that include proof of concept, pilot assistance, training, and rapid implementation assistance."
Artificial Intelligence,Process Automation,Process Automation,,,,,,,Cortex Intelligent Automation provides workforce and compliance management software solutions for the facilities management industry. The company's products enable organizations to create smart autonomous operations.
Cybersecurity,Identity Verification,Mobile Security,Information Security,,,,,,"AimBrain is developing a new mobile-focused biometric authentication platform that can be used with any mobile browser or data-sensitive application. By using behavioural, facial and voice biometrics, AimBrain enables banks and payment processors to know if their users really are who they say they are. AimBrain's first product is a biometric security layer that can be used with any mobile data-sensitive application. It tracks not only what the user enters, but also how they enter it."
Data Analytics,Predictive Modeling,Risk & Regulatory Analytics,,,,,,,"AlgoDynamix is an innovative portfolio risk analytics company focusing on financially disruptive events. It provides fund managers, wealth managers, investment banks and trading houses with insights and anticipates price movements days in advance of the event."
Workforce of the Future,Virtual Collaboration,Remote Workforce,,,,,,,"ClauseMatch is a collaborative document platform that integrates with internal systems and helps to streamline documentation workflows by providing real time editing, approvals and tracking."
Market Intelligence,Due Diligence,"Fraud Monitoring, Protection & Investigation",Legal Document Review,Identity Verification,Enterprise Intelligence,,,,"Contego Fraud Solutions provides a software platform that performs due diligence and risk analysis on individuals and companies, with applications across a wide range of industry sectors, including: business centers and virtual offices; recruitment; pre-employment screening; property and financial services – and any sector with intelligence sharing requirements."
Cybersecurity,Software Testing,IT Vulnerability & Threat Assessment,Crisis Management,Data Recovery,,,,,"Godesic offers a project management platform for IT infrastructure change-over in the financial services industry. Cutover is a SaaS platform that safeguards and controls critical enterprise IT change events. Cutover has been developed to replace the excel-ware, emails and telephone calls that are typically used to coordinate the release of critical IT systems projects. Cutover creates an ""operational theatre"" that supports virtual team planning and rehearsal, implementation event status monitoring and visualization, and provides the ""books and records"" of the event as an audit trail."
Data Maagement,Data Aggregation,Due Diligence,Knowledge Management,Cloud Services & Platforms,Regulation & Compliance,Market Research,,,"PassFort has developed the first Compliance As A Service (CAAS) Web application designed to improve the way regulated businesses collect, store and manage their customer compliance information at the point of onboarding. The technology delivers an automated and scalable back office system for financial services, online gambling, real estate and professional services firms, enabling processes that traditionally take weeks to be completed in a day."
Digital Enterprise,Digital Transformation Services,Social Media,,,,,,,"PayKey enables payments within social network chat. Its solution is independent of the underlying payment technology, including credit cards, wire transfer or distributed ledger. PayKey solution fits within any social network including Facebook Messenger, WhatsApp, Twitter etc. Leveraging existing networks creates simplicity and an intuitive payment experience. Users enjoy minimal transactions fees and instantaneous money transfer."
Market Intelligence,Data Aggregation,Machine Learning,Financial Data,Information Exchange,,,,,"Quotip offers a management tool for structured financial products that provides wealth managers with services in three key areas: product idea generation, request for quote and audit/life-cycle management. Quotip's machine-learning-based algorithm, sell-side independency and full coverage of the value-chain help reducing product complexity whilst increasing workflow efficiency and adhering to upcoming regulatory frameworks."
Data Analytics,Customer Analytics,Predictive Modeling,Data Aggregation,Marketing Services,,,,,SBDA Group delivers machine learning that allows banks to offer a personalized and automated financial advice service to their customers. This helps banks to scale personalized financial support and services using the power of artificial intelligence.
Workforce of the Future,Talent Sustainability,Freelance Talent/Labor,,,,,,,"Talent Rank enables prospective candidates to exhibit their skills, interests and potential. The platform trains and tests fundamental competencies and uncovers talent that could otherwise be overlooked. Talent Rank is used to augment screening processes, provide skill-based learning and development and increase workforce diversity."
Digital Enterprise,Software Testing,Remote Workforce,,,,,,,"Undo offers specialized tools to improve software quality and security by allowing coders to see exactly what a program has done. Two key products are UndoDB and Live Recorder. UndoDB is a debugger that allows developers to run code backwards as well as forwards, helping to rapidly identify bugs. Live Recorder allows developers to create an exact copy of a specific issue as it occurred in production or in test environments, for subsequent offline replay and analytics."
Market Intelligence,Information Exchange,Exchanges,,,,,,,"Voleo allows users to start a smart investment club via a mobile app where they can pool knowledge and funds and vote on trading decisions within their groups. Users can also follow others outside their own group, based on metrics like actual fund performance or individual decision performance, to help with their portfolios."
Cybersecurity,Information Security,Data Infrastructure,,,,,,,"ZeroDB provides an end-to-end encrypted database protocol that helps companies to use cloud services without sacrificing control, security, or privacy. Users can run queries over encrypted databases without exposing any decrypted data to the server."
Cybersecurity,Information Security,,,,,,,,"Trail of Bits provides enterprises with security research, red teaming and incident response services.  The company continuously monitors modern attackers' techniques, tools and incentives with proprietary research and data."
Artificial Intelligence,Process Automation,Financial Analytics,Due Diligence,,,,,,"Crowdaura provides a trade life cycle platform technology that facilitates issuing and managing financial products. The company automates activities such as legal/regulatory document structuring, marketing, distribution, execution, clearing, settlement and administration. "
Blockchain,Authentication,Information Security,,,,,,,"Block Notary provides an app that allows storing the digital fingerprint of any content from a smartphone through a Blockchain based public ledger.  The Block Notary app can be used to verify rights to photo, video or any clipboard content. "
Financial Crime,"Fraud Monitoring, Protection & Investigation",Identity Verification,Digital Currency,,,,,,Token provides software to banks that enables them to issue a new digital payment type.  Token combines bank-issued digital money and crypto-based security to authorize access to a bank account using arbitrary conditions.
Blockchain,"Fraud Monitoring, Protection & Investigation",Authentication,,,,,,,Blockseer serves to increase the transparency of the Bitcoin blockchain and its participants.  The company allows accurate mapping of any given bitcoin transaction on the blockchain as far backwards or forwards in time as possible.  
Workforce of the Future,Cognitive Technology,Performance Management,Talent Sustainability,,,,,,10Rule uses cognitive technology and cognitive clinical performance solutions to design talent performance metrics.
Blockchain,Mobile and Web Development,Digital Currency,Information Security,,,,,,21 Inc. makes a computer with native hardware and software support for the Bitcoin protocol.  The computer is used by developers to build bitcoin-payable apps and services. 
Digital Enterprise,Digital Transformation Services,,,,,,,,BitPay allows businesses to accept payments in bitcoin and receive funds directly to a bank account. BitPay immediately converts received bitcoins into a currenty of the merchant's choosing and deposits the funds.
Blockchain,Digital Currency,Digital Transformation Services,"Fraud Monitoring, Protection & Investigation",,,,,,"Blockstream’s offers sidechain products, blockchains that are interoperable with each other and with Bitcoin. The company’s products helps reduce liquidity shortages, market fluctuations, fragmentation, security breaches and fraud."
Digital Enterprise,Digital Transformation Services,"Fraud Monitoring, Protection & Investigation",,,,,,,"CoinX specializes in domestic and international payment processing and transfer services.  The company provides enterprise-level transaction monitoring and processing platforms. CoinX platforms provide a range of payment processing services, payments routing, settlement services, transaction monitoring and compliance."
Blockchain,Digital Transformation Services,"Fraud Monitoring, Protection & Investigation",Digital Currency,Authentication,,,,,"Digital Asset Holdings develops distributed ledger technology solutions for the financial services industry. It offers its distributed ledger for various use cases in the areas of corporate syndicated loan, the United States treasury repo, private stock, foreign exchange, payment, public stock, derivative, transaction reporting, factoring, bond, and digital currency aspects. "
Blockchain,Digital Currency,,,,,,,,"BitFury Group is a Bitcoin Blockchain infrastructure provider and transaction processing company. It builds ASICs, PCB boards, servers and data centers for Blockchain transaction processing. "
Blockchain,Digital Currency,Digital Transformation Services,"Fraud Monitoring, Protection & Investigation",,,,,,Xapo develops and delivers online and offline security solutions for Bitcoin. It offers Xapo Vault that keeps Bitcoin offline and protects them from possible attacks for long term savings; and Xapo Wallet that gives access for day-to-day purchases.
Blockchain,Authentication,Digital Transformation Services,Financial Data,,,,,,"Chain enables institutions to design, deploy, and operate blockchain networks that can power various types of assets, e.g., gift cards, prepaid mobile airtime, etc. It is expanding its services into financial services industry, to issue and manage digital assets on blockchain networks. It even enables issuing pre-IPO shares of private companies, which currently is a cumbersome process"
Blockchain,Digital Currency,Digital Transformation Services,Financial Data,,,,,,Blockchain provides web based bitcoin wallet and its search engine for Bitcoin economy is a highly trafficked bitcoin website. 
Blockchain,Digital Currency,Digital Transformation Services,Financial Data,,,,,,"Abra is a global, peer-to-peer, cash money transfer Application. It uses the Blockchain/Bitcoin technology for secure low cost transfers."
Blockchain,Digital Currency,Authorization,Digital Transformation Services,"Fraud Monitoring, Protection & Investigation",Crowdfunding,,,,BitShares develops blockchain based financial services including exchange and banking on a blockchain. 
Blockchain,Digital Currency,Cloud Services & Platforms,,,,,,,"KnCMiner provides chip design and cloud services for blockchain-based applications and cryptocurrency mining. It offers bitcoin mining hardware, including upgradable modular ASIC mining devices, controller boards, crunching chip, and nanometer processors; litecoin mining hardware, such as ASIC mining devices and titan scrypt miner chips; and runs industrial scale blockchain computing centers on renewable energy."
Blockchain,Digital Currency,Authentication,"Fraud Monitoring, Protection & Investigation",,,,,,"Stellar is an open source protocol for value exchange. Stellar uses distributed ledger technology that enables money to move directly between people, companies and financial institutions as easily as email."
Blockchain,Digital Currency,Financial Data,Information Security,,,,,,Bitspark provides an online mobile and web based platform which enables global remittances. It uses blockchain technology for secure and low-cost transfers.
Blockchain,Digital Currency,Financial Data,Information Security,,,,,,BitPesa provides an online platform for bitcoin trading. It also offers payment solutions for sending and collecting payments and converting Bitcoin to local African currencies.
Blockchain,Digital Transformation Services,Mobile and Web Development,Information Security,Process Automation,,,,,Gem enables building and deploying of blockchain networks for businesses. It also helps in testing proofs-of-concept in their sandbox environment to produce a scalable pilot. 
Blockchain,Digital Currency,Financial Data,Information Security,"Fraud Monitoring, Protection & Investigation",,,,,"Armory is the maker of the Amory Secure Wallet, a tool to generate and store Bitcoin private keys. Armory allows management of bitcoin wallets offline, storing bitcoin on a computer that never touches the Internet."
Blockchain,Digital Currency,Financial Data,,,,,,,"Serica is a commodities trading platform which connects investors to bitcoin-linked asset rights such as gold, silver, platinum & palladium assets tradeable on multiple digital money & precious metal exchanges."
Blockchain,"Fraud Monitoring, Protection & Investigation",Authentication,,,,,,,Everledger provides a public ledger for diamond ownership & related transaction history verification for insurance companies and claimants.
Blockchain,Exchanges,Financial Data,Information Security,,,,,,"Clearmatics provides a clearing and settlement platform for OTC financial markets, which helps in bringing different stakeholders onto one platform. It uses blockchain-based Decentralised Clearing Network (“DCN”) technology, which enables implementation of smart contracts and distributed ledgers"
Blockchain,Digital Currency,Digital Transformation Services,Education,,,,,,"Bitnet provides a range of blockchain related technology and services, including payment services, digital asset management, blockchain consulting, and B2B cross border remittance."
Blockchain,Digital Currency,Digital Transformation Services,Exchanges,,,,,,"GoCoin provides an integrated platform for  businesses to accept Bitcoin, Litecoin or Dogecoin as a form of payment. It also allows businesses to convert these digital currencies to any other currency, with limited exposure to exchange rate volatility."
Blockchain,Digital Currency,Financial Data,Information Security,Exchanges,,,,,"Bitstamp is a European Union based bitcoin marketplace and provides a trading platform to buy and sell bitcoins. This platform enables faster transactions at a lower cost, with reduced risk of frauds."
Blockchain,Authentication,Financial Data,,,,,,,itBit is a financial services company offering a suite of products leveraging traditional capital markets infrastructure and blockchain. The company uses private permissioned distributed ledger technology to provide post-trade clearing and settlement.
Blockchain,Digital Currency,Financial Data,Exchanges,,,,,,Kraken is a Bitcoin exchange that allows buying and selling of Bitcoin using a range of major currencies.  
Blockchain,Digital Currency,Authentication,"Fraud Monitoring, Protection & Investigation",Digital Transformation Services,,,,,"Gyft is a mobile gift card app that allows customers to buy, store, send and redeem gift cards from a mobile device."
Blockchain,Identity Verification,Authentication,Authorization,"Fraud Monitoring, Protection & Investigation",,,,,"ShoCard provides a digital identity card that is used through a mobile application. Its identity verification system protects and verifies identity using public/private key encryption with various keys, data hashing, out-of-band communication, data matching, and two-factor authentication, as well as protects consumer privacy. "
Blockchain,Authorization,Data Infrastructure,Mobile and Web Development,Legal Document Review,Cloud Services & Platforms,,,,Eris Industries Limited operates a platform that allows building data infrastructure using blockchain and smart contract technology.
Blockchain,Digital Currency,Authentication,Authorization,Data Infrastructure,"Fraud Monitoring, Protection & Investigation",Mobile and Web Development,Cloud Services & Platforms,,"Counterparty is a platform for free and open financial tools on the Bitcoin network. By harnessing the power of the Bitcoin network, Counterparty creates secure marketplace directly on the Bitcoin blockchain, extending Bitcoin’s functionality from a peer-to-peer payment network into a full fledged peer-to-peer financial platform. Along with the Counterparty protocol, the platform consists of the native XCP token to perform advanced operations, and the secure, browser-based Counterwallet to provide the functionality."
Artificial Intelligence,Machine Learning,Predictive Modeling,,,,,,,"Blue J Legal provides tax research tool, for tax professionals, which helps in solving classification questions. It uses machine learning technology, to provide the answer, based on the results of previous court cases, alongwith supporting evidences and materials."
Artificial Intelligence,Natural Language Processing,Customer Analytics,Market Research,,,,,,"Artificial Solutions provides an automated natural language interaction (NLI) platform. Its flagship product, Teneo, consists of four components - Teneo Interactive Engine (interprets natural language and applies linguistic and reasoning rules to determine the most appropriate response), Teneo Studio (help create NLI applications), Teneo Language Resources (add more language capabilities) and Teneo Analytics (provides insight into customer's need and behaviour, by analyzing customer conversations)."
Data Management,Cloud Services & Platforms,Process Automation,,,,,,,"Neota offers a platform to build applications, using rules/logic, workflow and document automation. Its platform consists of four components - Studio (application development tool), Reasoning Engine (application driver, integrating reasoning methods), Work Bench (application manager, providing control of permissions and versions), and Integration (application integrator)"
Artificial Intelligence,Machine Learning,Predictive Modeling,Marketing Analytics,Customer Analytics,Supply Chain Analytics,Financial Analytics,Enterprise Intelligence,Risk & Regulatory Analytics,"Noodle.ai provides solutions and advisory services in enterprise artificial intelligence. These services are focused in the areas of enterprise AI pathways, data value assessment, internal skill development and AI architecture advisory"
Data Analytics,Marketing Analytics,Customer Analytics,Supply Chain Analytics,Financial Analytics,Natural Language Processing,,,,"Enterra provides Big Data analytics platform, to uncover insights and relationships. Its flagship product, Enterra Enterprise Cognitive System, allows for generation of hypothesis, inference, cascading effects of an event, recommendations and identification of target sub-sets of consumers"
Artificial Intelligence,Machine Learning,Customer Analytics,Natural Language Processing,Marketing Analytics,Predictive Modeling,,,,"Highspot offers a sales enablement platform, which delivers insights that help companies to engage more effectively with customers. It uses machine learning to provide features such as semantic search, intelligent recommendations, content scoring, smart feeds and advanced analytics"
Data Analytics,Marketing Analytics,Customer Analytics,Predictive Modeling,Machine Learning,Healthcare Analytics,,,,"Eularis offers analytics solutions, using artificial intelligence (machine learning, neural network and deep learning), specifically for pharamceutical industry. Its flagship platform, called Accelerated Growth Analytics Platform, covers Brand Performance, Messaging Results, Marketing Mix Optimization, and Sales Force Effectiveness"
Artificial Intelligence,Computer Vision,Predictive Modeling,Information Security,Machine Learning,Healthcare Analytics,,,,"AiCure offers a medical platform, which uses facial recognition and motion-sensing software to automate directly observed therapy (DOT) on smartphones. It enables direct visualization of patient behavior, by capturing evidence of medication ingestion, leading to increased patient adherance and monitoring."
Artificial Intelligence,Machine Learning,Predictive Modeling,Enterprise Intelligence,Knowledge Management,Clinical Research/Testing,Healthcare Analytics,Cognitive Technology,,"Numerate offers a drug design platform, which helps in delivering novel leads, with no need for a crystal structure and limited SAR data (Structure-Activity Relationship, between chemical structure and pharmacological activity). It utilizes machine learning - based modelling, which enables modelling of  properties like binding to a target, efficacy of compounds, ADME (absorption, distribution, metabolism, and excretion) properties, off-target toxicities, etc."
Artificial Intelligence,Machine Learning,Predictive Modeling,Clinical Research/Testing,Healthcare Analytics,Cognitive Technology,,,,"twoXAR uses machine learning and big data analytics, to reduce the time taken to find and assess efficacy of new drug candidates. Its core product, DUMA Drug Discovery Platform, is a cloud-based solution which helps in finding associations between drug and disease. This platform can be used by R&D organizations, to prioritize existing candidates, perform targeted searches and identify new drug candidates."
Data Management,Knowledge Management,Data Visualization,Data Aggregation,Information Security,Process Automation,"Fraud Monitoring, Protection & 
Investigation",Cyber Intelligence,Regulation & Compliance,"Palantir offers data platforms for integrating, managing and securing big data, including layer applications, which enables interactive, machine-assisted analysis. It has two core products - Palantir Gotham (serves as an enterprise knowledgebase, containing records of an organization's collective analysis); and Palantir Metropolis (for integrating data from various sources into analytical models)"
Data Analytics,Predictive Modeling,Data Aggregation,Data Visualization,Digital Transformation Services,Healthcare Analytics,Mobile Health,,,"AchieveMint offers a collaborative healthcare platform, which gives incentives to customers who make healthy choices.It enables to integrate data from different healthcare applications and devices and to apply analytics, for generating insights on leading a health and active life."
Data Management,Knowledge Management,Data Aggregation,Cloud Storage,Data Visualization,Predictive Modeling,,,,"BellaDati provides collaborative Business Intelligence applications, which has features such as creating dashboards and reports, performing analytics and integrating datapoints into a datastore. It can combine structured and unstructured data into an automated datastore, which uses data visualization techniques to generate insights"
Data Management,Optimal Character Recognition (OCR),Machine Learning,Process Automation,Computer Vision,"Extract, Transform, Load (ETL)",Knowledge Management,Digital Transformation Services,Crowd Management Platforms,"Captricity offers data capture solution, by providing handwriting recognition capabilities. Documents are first automatically classified using computer vision technology. Then, information is extracted and validated, using machine-learning handwriting-recognition algorithms and crowd-guided verification. "
Data Analytics,Predictive Modeling,Machine Learning,Customer Analytics,Market Research,,,,,"C-B4 offers prediction modeling solutions that operate at a granular level, by taking into account different variables and conditions that can influence each granular entity. The company uses data compression technologies, pattern-detection and machine-learning algorithms to generate actionable business insights and detect anomalies."
Artificial Intelligence,Machine Learning,Natural Language Processing,Optimal Character Recognition (OCR),Text Analytics,"Fraud Monitoring, Protection & Investigation",,,,"CedarTech provides products and solutions for the interpretation of patterns. The company focuses on delivering systems for pattern recognition and machine learning with applications to handwriting recognition and analysis, forensic document examination, and biometrics."
Market Intelligence,Health Information Systems,Mobile Health,,,,,,,"Healthline is a provider of health information and technology solutions for publishers, advertisers, employers, healthcare providers, and health plans.  The company offers a taxonomy-driven Medically Guided Search platform to provide intelligent health information to individuals."
Data Analytics,Predictive Modeling,Data Infrastructure,Machine Learning,Data Aggregation,,,,,"Revolution Analytics offers capabilities based on open source ""R"", for statistical analytics. Its flagship product, Revolution R Enterprise, is an enterprise-class big data big analytics platform which enables big data statistics, predictive modeling and machine learning capabilities, that are compatible with the R language"
Artificial Intelligence,Machine Learning,Predictive Modeling,Clinical Research/Testing,Healthcare Analytics,Cognitive Technology,,,,"Atomwise offers a drug discovery platform that uses machine learning and artificial intelligence to reduce the time and cost required to identify a potential drug candidate. The platform analyzes big data to make medicinal predictions, identify new drug candidates and discover new uses for existing drugs."
Artificial Intelligence,Clinical Research/Testing,Mobile Health,Cognitive Technology,Machine Learning,Predictive Modeling,,,,Pathway genomics provides genetic profile information through laboratory diagnostic testing. The company merges artificial intelligence and deep learning with precision medicine  to provide personalized healthcare guidance. 
Data Management,Health Information Systems,Mobile Health,Healthcare Analytics,Predictive Modeling,Social Media,Cloud Storage,,,"Tiatros offers a digital healthcare social networking platform which uses collaboration, engagement, and predictive analytics tools to improve patient outcomes. Its flagship product, CarePod, is a cloud-based platform connecting medical professionals, patients and family members. It contains patient information, treatment plans, medical images, and medical records, enabling administration of personalized care to patients. "
Data Analytics,Financial Analytics,Process Automation,Predictive Modeling,Enterprise Intelligence,Data Infrastructure,Knowledge Management,Process Automation,,"Redwood offers enterprise process automation solutions that help organizations reduce the costs, risks and wasted time associated with manual tasks. The company offers a suite of products, including Cronacle for enterprise process automation platform, RunMyJobs for subscription-based automation service, Report2Web for conversion of disparate content into a common format, Redwood Intelligence for predictive analytics, and Robofinance for financial operations automation."
Pervasive Computing,Wearables,Networks & Sensors,Mobile Health,Digital Transformation Services,,,,,"UnaliWear is a wearable techology company offering “Kanega”, a wearable watch with a speech-assisted interface.  The Kanega watch provide discreet support for medication reminders and emergency assistance."
Pervasive Computing,Internet of Things,Networks & Sensors,,,,,,,"Ingenu offers wireless solutions for machine-to-machine communications, enabling IoT network connectivity. The company's machine network technology is purpose-built to support M2M/IoT applications needing greater coverage and network longevity."
Pervasive Computing,Internet of Things,Networks & Sensors,,,,,,,"SigFox is a provider of dedicated cellular connectivity for IoT and M2M communications, handling installation and maintenance operations of its customers. Its network enables efficient two-way transmission of small quantities of data for wider implementation of IoT and M2M solutions."
Sustainability,Energy Efficiency,Environmental Footprint,Meter Data Management (MDM),Sustainability Advisory,City Solutions,Data Visualization,Predictive Modeling,,"UtilityWise is a utility services brokerage firm which manages utilities like power, gas and water on behalf of its customers.  Its online product offerings assist in monitoring and analysis of energy consumption to ensure efficiency targets are met."
Cybersecurity,Cyber Intelligence,Information Security,IT Vulnerability & Threat Assessment,Crisis Management,,,,,Karamba offers automobile cybersecurity solutions that identify attempted attacks and block hackers from infiltrating a car's network. The company's software protects externally connected electronic control units from cyberattacks.
Data Management,Knowledge Management,Data Infrastructure,"Extract, Transform, Load (ETL)",Data Aggregation,,,,,"Zapier provides an app integration platform for managing app data. The company's Zap product provides a dedicated link between two apps that has been connected on Zapier, enabing automation of app data transfer between apps."
Pervasive Computing,Internet of Things,Networks & Sensors,Cloud Services & Platforms,Information Security,,,,,"Electric Imp offers an IoT platform that securely connects devices with advanced cloud computing resources. The company’s solutions offer integrated hardware, OS, security, APIs and cloud services that enables commercial and industrial applications."
Pervasive Computing,Internet of Things,Networks & Sensors,Cloud Services & Platforms,Information Security,Data Visualization,,,,"CloudOne offers an enterprise platform to develop, deploy and manage IoT solutions in a hybrid virtual private cloud environment. The company’s offerings enable global collaborative development, production and analysis of software and products in real time on individual, secure, private hybrid cloud environments. "
Pervasive Computing,Internet of Things,Cloud Storage,Cloud Services & Platforms,Data Infrastructure,Networks & Sensors,,,,"Smartron offers smart devices and IoT products for consumer and enterprise markets. The company's IoT devices are powered by its platform, Hubtron, which integrates access to user profile data, content and services."
Cybersecurity,Cyber Intelligence,IT Vulnerability & Threat Assessment,Identity Verification,,,,,,Elliptic offers blockchain intelligence solutions for financial institutions and law enforcement agencies. The company's products idendify illicit activity on the Bitcoin blockchain and trace entities’ transaction activity.
Blockchain,Authentication,,,,,,,,"Blockai enables digital content creators to register their work trhough a blockchain-based proof of ownership certificate.  The company's offering assists in avoiding potential copyright infringement and provides a repository for claiming, monetizing and trading ownership of digital media."
Blockchain,Authorization,Authentication,,,,,,,Rootstock provides a blockchain based open-source smart contract platform.  The platform allows for two pay transfer of bitcoins from the Bitcoin blockchain to a secondary blockchain and vice-versa.
Blockchain,Authorization,Mobile and Web Development,,,,,,,"Lisk offers an open source platform for developers made up of decentralized applications and sidechains written in JavaScript. Developers can build, publish, distribute, and monetize their applications within the company's custom built crypto-currency powered system."
Blockchain,Authorization,Authentication,Process Automation,"Fraud Monitoring, Protection & Investigation",,,,,"Stratumn builds blockchain based applications for automating audit processes and fraud detection. The company enables developers to leverage blockchain to write, execute and verify workflows or business processes."
Blockchain,Digital Currency,,,,,,,,"Bitt offers a digital currency exchange platform and digital wallet, which enables remittances and payments in cryptocurrency and fiat money."
Blockchain,Digital Currency,,,,,,,,Bitwala offers blockchain-based international money transfers.  The company allows users to exchange and transfer bitcoin and Euros.
Blockchain,Authentication,,,,,,,,"Custos Media Technologies offers media security, management and distribution solutions to content owners and providers.  The company uses blockchain technology to watermark content, management rights, and distribute content using minimal hosted server infrastructure."
Market Intelligence,Information Exchange,Financial Data,Comparables,,,,,,"New Constructs is an equity research firm specializing in quality-of-earnings, forensic accounting and discounted cash flow valuation analyses for U.S. public companies. The firm extracts financial data directly from SEC filings and the notes to financial statements and offers investment consulting and advisory services."
Workforce of the Future,Project Management,Performance Management,Process Automation,Data Visualization,,,,,"Progressly transforms business processes into visual, actionable, and repeatable workflows. The company's platform allows for sharing, discovery, and adoption of proven best practices for a range of business problems."
Blockchain,Authentication,,,,,,,,"Cambridge Blockchain develops blockchain ecosystem, with a focus on identity verification tools based on KYC (Know-your-customer) and AML (Anti-Money Laundering) parameters."
Pervasive Computing,Internet of Things,Predictive Modeling,Data Visualization,Data Aggregation,,,,,"Semios provides IoT solutions for farming / agriculture industry, by providing network of sensors and data analytics. It helps in covering each orchard block in a mesh network with devices, such as pheromone dispensers, automated traps, soil moisture meters or leaf-wetness devices."
Artificial Intelligence,Machine Learning,Predictive Modeling,Healthcare Analytics,Health Information Systems,,,,,"iCarbonX is developing an artificial intelligence platform, using big data, to facilitate research related to the treatment of diseases, preventive care and precision nutrition.Its analysis will help in providing private health management system and enable the development of personalized medicine."
